ZOMBIE_NORMAL,10000,1,600,25,0,10
ZOMBIE_CONEHEAD,28000,1,600,40,0,28
ZOMBIE_BUCKETHEAD,66000,1,600,50,0,66
ZOMBIE_SCREENDOOR,66000,1,600,60,0,66
ZOMBIE_FLAG,10000,1,600,45,0,10
ZOMBIE_FOOTBALL,81000,1,600,80,0,81
ZOMBIE_JACKINTHEBOX,17000,1,600,60,0,17
ZOMBIE_NEWSPAPER,18000,1,600,45,0,18
ZOMBIE_POLEVAULTING,17000,1,600,60,0,17
ZOMBIE_CATAPULT,35000,1,99999,90,0,35
ZOMBIE_DANCING,0,1,4000,0,0,9
ZOMBIE_BACKUP,0,1,4000,0,0,9
PLANT_PEASHOOTER,15000,1,0,8,100,0
PLANT_REPEATER,15000,1,0,8,200,0
PLANT_SNOWPEA,15000,1,0,8,175,0
PLANT_MELONPULT,15000,1,0,8,300,0
PLANT_SPIKEROCK,15000,1,0,8,100,0
PLANT_WALLNUT,210000,1,0,30,50,0
PLANT_TALLNUT,420000,1,0,30,125,0
PLANT_SQUASH,15000,1,0,10,50,0
PLANT_POTATOMINE,15000,1,0,30,25,0
PLANT_CHERRYBOMB,15000,1,0,35,100,0
PLANT_JALAPENO,15000,1,0,50,125,0
PLANT_SUNNER,15000,24,25,10,50,0
PLANT_GARLIC,60000,1,0,8,50,0
BULLET_ZOMBIE,1,6,0,0,0,0
BULLET_BASKETBALL,1,6,0,0,0,0
BULLET_SUN,1,6,50,0,0,0
BULLET_NORMAL,1,6,1000,0,0,0
BULLET_TWO,1,6,1000,0,0,0
BULLET_SNOW,1,6,1000,0,0,0
BULLET_MELON,1,6,1000,0,0,0
BULLET_SECKILL,1,6,99999,0,0,0
